#{"t_start": 1754642765.804988, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
150.0,3769,1.540291
155.0,1557,1.830667
215.0,2391,2.218328
185.0,2309,2.595562
40.0,1597,2.861372
150.0,2089,3.205227
305.0,2820,3.662217
55.0,1687,3.940386
185.0,2345,4.323771
75.0,1287,4.533058
105.0,1777,4.824661
160.0,1995,5.151525
125.0,1189,5.348145
120.0,2141,5.700871
180.0,2013,6.030517
380.0,3471,6.596038
135.0,2725,7.043843
410.0,2825,7.509418
65.0,1163,7.7015
135.0,1899,8.012938
135.0,1813,8.313166
135.0,1777,8.606613
180.0,2535,9.026762
15.0,1327,9.244843
260.0,2927,9.72085
485.0,3323,10.260801
50.0,1669,10.545532
155.0,2005,10.877788
210.0,2413,11.273829
210.0,1949,11.591579
135.0,1899,11.904361
145.0,1875,12.215406
50.0,1761,12.506142
265.0,3101,13.011465
185.0,2553,13.432158
195.0,2123,13.781072
195.0,2767,14.235529
105.0,1525,14.487354
65.0,1485,14.733044
105.0,1533,14.985634
210.0,2609,15.411557
160.0,2003,15.741521
410.0,2567,16.166311
135.0,1533,16.421614
30.0,1211,16.623632
155.0,2301,17.002671
165.0,2015,17.33401
95.0,2307,17.715901
15.0,1481,20.180994
135.0,1963,20.507424
610.0,4087,21.171184
105.0,1833,21.480548
120.0,1621,21.750795
135.0,1699,22.032527
120.0,1679,22.311163
30.0,1569,22.571143
285.0,3573,23.152076
150.0,1955,23.476954
75.0,1549,23.732555
75.0,1111,23.917921
65.0,1353,24.143599
145.0,2317,24.527269
140.0,1559,24.783781
410.0,2079,25.126681
430.0,3143,25.638686
45.0,1525,25.891265
95.0,1609,26.162462
135.0,2713,26.61021
135.0,2429,27.014974
165.0,1889,27.327969
35.0,1791,27.626842
375.0,3695,28.233399
125.0,2033,28.572705
20.0,1473,28.817099
455.0,2965,29.301762
30.0,1491,29.551373
155.0,2225,29.920712
415.0,3095,30.430526
55.0,1375,30.657573
100.0,1701,30.939875
60.0,1155,31.131195
70.0,1397,31.363367
105.0,1969,31.685892
105.0,1439,31.924876
75.0,1181,32.118641
325.0,2011,32.451124
90.0,2255,32.81981
120.0,1465,33.062613
765.0,4709,33.817485
50.0,1631,34.091893
210.0,2487,34.499602
165.0,2021,34.833164
55.0,1751,35.12078
105.0,1709,35.402737
335.0,2439,35.80256
210.0,2493,36.204823
120.0,1541,36.458617
65.0,1873,36.767567
215.0,2811,39.945532
155.0,2269,40.318229
80.0,1177,40.514188
55.0,1125,40.701566
75.0,1579,40.963602
180.0,1891,41.27635
45.0,1447,41.515914
195.0,2505,41.930244
210.0,1599,42.193422
285.0,2919,42.667729
55.0,1157,42.86021
135.0,1795,43.158176
180.0,2241,43.52585
180.0,1881,43.840334
210.0,2431,44.241906
110.0,1777,44.536109
120.0,2083,44.880454
405.0,3247,45.415965
155.0,2033,45.753865
15.0,1189,45.953327
105.0,1647,46.225452
120.0,2093,46.571718
145.0,1897,46.887709
110.0,1809,47.192518
240.0,2889,47.665777
45.0,1545,47.925881
155.0,2203,48.292158
55.0,1091,48.473555
110.0,1993,48.806384
70.0,1157,49.000621
55.0,1205,49.201312
185.0,2299,49.577516
150.0,1621,49.84546
155.0,1847,50.150344
155.0,1873,50.462296
80.0,1325,50.682576
230.0,2569,51.104782
45.0,1649,51.379485
155.0,1967,51.707701
165.0,1907,52.02499
90.0,1493,52.271235
225.0,3561,52.858349
30.0,1609,53.126101
110.0,2253,53.512754
165.0,1899,53.828936
55.0,1209,54.034299
60.0,1715,54.318955
120.0,1591,54.58461
95.0,1219,54.787639
495.0,3287,55.326247
195.0,2559,55.752854
210.0,2677,56.199229
80.0,1617,56.468008
260.0,4343,59.857719
80.0,1597,60.126487
115.0,2137,60.485019
35.0,1181,60.682178
90.0,1839,60.99088
155.0,2143,61.348622
180.0,2359,61.743807
125.0,1557,62.005966
210.0,2143,62.372658
35.0,1517,62.632932
140.0,1377,62.866305
285.0,3009,63.367309
235.0,3541,63.959168
50.0,1149,64.153411
230.0,2431,64.558485
80.0,1449,64.801923
120.0,1955,65.137815
425.0,2701,65.592032
85.0,1769,65.889148
110.0,2083,66.238499
135.0,1679,66.520956
420.0,3779,67.139853
65.0,1901,67.459646
520.0,3101,67.976357
135.0,2349,68.371835
55.0,1265,68.583974
310.0,2191,68.953664
110.0,1987,69.284223
260.0,2687,69.735324
80.0,1601,70.005767
35.0,1017,70.178389
220.0,2841,70.654236
225.0,2965,71.150692
225.0,2511,71.571382
105.0,1151,71.763566
80.0,1985,72.098514
210.0,2407,72.501373
105.0,1601,72.770903
210.0,2477,73.183226
80.0,1869,73.499517
80.0,1835,73.810375
105.0,2073,74.159312
105.0,1973,74.491154
165.0,2229,74.861859
20.0,1469,75.109916
60.0,1153,75.304453
65.0,1207,75.506992
45.0,1151,75.699966
105.0,1539,75.961093
315.0,3752,79.665777
125.0,2019,80.719789
230.0,2595,82.026223
110.0,2811,83.471349
235.0,3383,85.207049
75.0,2037,86.211915
185.0,3765,88.213576
290.0,3197,89.85792
280.0,2627,91.18763
295.0,3835,93.142288
80.0,1863,94.097222
275.0,4023,96.135533
160.0,2869,97.637191
220.0,2401,98.86116
150.0,2471,100.087647
150.0,2457,101.334928
210.0,2447,102.570903
30.0,2043,103.608598
190.0,2649,104.973867
55.0,1945,105.9457
55.0,1219,106.557763
160.0,2053,107.598781
105.0,2105,108.644057
